Word,Definition,Example,Tags,Difficulty,Mastery Level,Created At,Last Reviewed
Abstraction,Simplifying complex ideas by focusing on the main point.,We use abstraction to hide complex details in programming.,Concept;Programming,intermediate,learning,2025-08-04,
Accuse,To say someone did something wrong.,She accused him of stealing her book.,Legal;Action,intermediate,learning,2025-08-04,
Acquire,To get or gain something.,He acquired a new skill in painting.,Learning;Business,intermediate,learning,2025-08-04,
Acquittal,Being found not guilty in a trial.,The judge announced his acquittal.,Legal;Court,intermediate,learning,2025-08-04,
Actually,In fact or really.,"Actually, I prefer tea over coffee.",Common;Clarification,intermediate,learning,2025-08-04,
Ad hoc,Created for a specific purpose.,We formed an ad hoc team for the project.,Temporary;Planning,intermediate,learning,2025-08-04,
Adhere,To stick to something or follow rules.,You must adhere to the rules.,Rules;Behavior,intermediate,learning,2025-08-04,
Admit,To say something is true.,He admitted his mistake.,Truth;Confession,intermediate,learning,2025-08-04,
Adore,To love deeply.,I adore my pet dog.,Emotion;Love,intermediate,learning,2025-08-04,
Advantage,A benefit or good point.,Her height is an advantage in basketball.,Benefit;Comparison,intermediate,learning,2025-08-04,
Adversity,Hard times or difficulties.,He overcame adversity to succeed.,Challenge;Life,intermediate,learning,2025-08-04,
Aforementioned,Mentioned earlier.,The aforementioned points are important.,Reference;Writing,intermediate,learning,2025-08-04,
Allure,Strong attraction or charm.,The allure of the beach was irresistible.,Attraction;Emotion,intermediate,learning,2025-08-04,
Although,Even though.,"Although it was raining, we went out.",Contrast;Grammar,intermediate,learning,2025-08-04,
Amateur,Not professional.,He's an amateur photographer.,Skill;Experience,intermediate,learning,2025-08-04,
Ambient,Surrounding environment.,The ambient noise was calming.,Environment;Sound,intermediate,learning,2025-08-04,
Ambition,Strong desire to achieve something.,Her ambition is to become a doctor.,Goal;Motivation,intermediate,learning,2025-08-04,
Amiable,Friendly and pleasant.,He is an amiable host.,Personality;Social,intermediate,learning,2025-08-04,
Ancient,Very old.,We visited ancient ruins.,History;Time,intermediate,learning,2025-08-04,
Anticipate,To expect something.,I anticipate a good result.,Expectation;Planning,intermediate,learning,2025-08-04,
Anxiety,Feeling worried or nervous.,She felt anxiety before the exam.,Emotion;Health,intermediate,learning,2025-08-04,
Apparent,Clearly visible or understood.,It was apparent he was tired.,Clarity;Observation,intermediate,learning,2025-08-04,
Astonishing,Very surprising.,The magician's trick was astonishing.,Surprise;Reaction,intermediate,learning,2025-08-04,
Atonomy,Likely meant 'Autonomy' - independence.,He values autonomy at work.,Independence;Control,intermediate,learning,2025-08-04,
Bespoke,Custom-made.,He wore a bespoke suit.,Custom;Fashion,intermediate,learning,2025-08-04,
Boil down the ocean,Trying to do too much at once.,Don't try to boil down the ocean—focus on one task.,Idiom;Planning,intermediate,learning,2025-08-04,
Bridge the gap,Connect two different things.,We need to bridge the gap between teams.,Connection;Strategy,intermediate,learning,2025-08-04,
COE (Center of Excellence),A team that leads best practices.,The COE sets the standards for quality.,Business;Organization,intermediate,learning,2025-08-04,
Capsules,Small containers or pills.,Take two capsules daily.,Medicine;Container,intermediate,learning,2025-08-04,
Carbon Footprint,Amount of carbon emissions.,Reduce your carbon footprint by biking.,Environment;Sustainability,intermediate,learning,2025-08-04,
Catastrophe,A big disaster.,The flood was a catastrophe.,Disaster;Event,intermediate,learning,2025-08-04,
Compadre,Close friend.,He's my compadre from college.,Friendship;Informal,intermediate,learning,2025-08-04,
Concisely,Using few words.,Explain your idea concisely.,Communication;Writing,intermediate,learning,2025-08-04,
Cosmetic,Related to appearance.,She bought cosmetic products.,Appearance;Beauty,intermediate,learning,2025-08-04,
Crux,Main point.,The crux of the issue is funding.,Main Point;Focus,intermediate,learning,2025-08-04,
Deliberation,Careful thinking.,"After deliberation, we chose option A.",Decision;Thinking,intermediate,learning,2025-08-04,
Divulge,To reveal something.,He wouldn't divulge the secret.,Reveal;Privacy,intermediate,learning,2025-08-04,
Durability,How long something lasts.,This phone has great durability.,Quality;Product,intermediate,learning,2025-08-04,
Emerging,Starting to become known.,Emerging markets are growing fast.,Growth;Trend,intermediate,learning,2025-08-04,
Equilibrium,Balance.,The system reached equilibrium.,Balance;Science,intermediate,learning,2025-08-04,
Essence,Core nature.,The essence of the story is love.,Core;Meaning,intermediate,learning,2025-08-04,
Extinction,Disappearance of a species.,Dinosaurs faced extinction.,Nature;History,intermediate,learning,2025-08-04,
Fossil,Remains of ancient life.,We found a fossil in the rock.,History;Science,intermediate,learning,2025-08-04,
Hallucinate,See things that aren't real.,He began to hallucinate from fever.,Mind;Health,intermediate,learning,2025-08-04,
Humungous,Very large.,That burger was humungous!,Size;Informal,intermediate,learning,2025-08-04,
Incumbent,Current holder of a position.,The incumbent president won again.,Politics;Role,intermediate,learning,2025-08-04,
Indices,Plural of index.,Stock indices rose today.,Data;Finance,intermediate,learning,2025-08-04,
Instigator,Someone who starts something.,He was the instigator of the prank.,Action;Cause,intermediate,learning,2025-08-04,
Labour Arbitrage,Saving money by hiring cheaper labor.,Companies use labour arbitrage to cut costs.,Business;Cost,intermediate,learning,2025-08-04,
Legitimate,Lawful or valid.,That's a legitimate concern.,Law;Validity,intermediate,learning,2025-08-04,
Locus,Location or center.,The locus of control is internal.,Location;Science,intermediate,learning,2025-08-04,
Low hanging fruits,Easy tasks or wins.,Let's start with low hanging fruits.,Business;Strategy,intermediate,learning,2025-08-04,
Meditation,Calm thinking practice.,Meditation helps reduce stress.,Health;Mind,intermediate,learning,2025-08-04,
Mesolithic,Middle Stone Age.,Mesolithic tools were found here.,History;Archaeology,intermediate,learning,2025-08-04,
Networking,Making professional connections.,Networking helped her find a job.,Career;Social,intermediate,learning,2025-08-04,
Nuances,Small differences.,He understood the nuances of the topic.,Details;Understanding,intermediate,learning,2025-08-04,
Omnichannel,Multiple ways to interact with customers.,We use an omnichannel strategy.,Marketing;Retail,intermediate,learning,2025-08-04,
Optimistic,Hopeful and positive.,She is optimistic about the future.,Attitude;Emotion,intermediate,learning,2025-08-04,
Paramount,Most important.,Safety is paramount.,Importance;Priority,intermediate,learning,2025-08-04,
Persuade,To convince someone.,He persuaded her to join.,Influence;Communication,intermediate,learning,2025-08-04,
Pre-Sales,Activities before selling.,Pre-sales helped prepare the client.,Business;Sales,intermediate,learning,2025-08-04,
Prolonged,Lasting a long time.,He had a prolonged illness.,Time;Duration,intermediate,learning,2025-08-04,
Pursue,To follow or chase.,She pursued her dreams.,Goal;Action,intermediate,learning,2025-08-04,
Radical,Extreme or new.,They proposed a radical change.,Change;Idea,intermediate,learning,2025-08-04,
